epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,421.316,1.93223,0.91667,0.81661,0.82015,0.49666,0.64025,0.2748,1.88119,0.93008,0.78442,0.0004358,0.0004358,0.0004358
81,426.52,1.94671,0.92348,0.82301,0.84423,0.59029,0.70632,0.29533,1.89624,0.86773,0.78357,0.000416,0.000416,0.000416
82,431.785,1.95307,0.92363,0.82139,0.84305,0.57426,0.71331,0.30918,1.70872,0.85676,0.78142,0.0003962,0.0003962,0.0003962
83,437.04,2.01155,0.9635,0.82862,0.87773,0.56865,0.7132,0.28075,1.97575,0.85693,0.7845,0.0003764,0.0003764,0.0003764
84,442.259,2.06168,0.96026,0.84723,0.80106,0.53465,0.66231,0.25627,2.05398,0.86125,0.78674,0.0003566,0.0003566,0.0003566
85,447.479,2.03301,0.93298,0.83231,0.73575,0.53465,0.64258,0.26385,1.83967,0.86818,0.78319,0.0003368,0.0003368,0.0003368
86,452.712,2.02924,0.96177,0.84016,0.8474,0.54987,0.6782,0.29135,1.86106,0.91675,0.78222,0.000317,0.000317,0.000317
87,457.934,2.02601,0.94297,0.83521,0.80679,0.5375,0.67939,0.30201,1.69903,0.86747,0.78169,0.0002972,0.0002972,0.0002972
88,463.145,1.9921,0.96826,0.84016,0.7243,0.47525,0.60483,0.26018,1.79765,0.96519,0.78413,0.0002774,0.0002774,0.0002774
89,468.397,1.98892,0.91043,0.82904,0.70371,0.50495,0.62747,0.26244,2.00323,0.94229,0.78912,0.0002576,0.0002576,0.0002576
90,473.629,1.99016,0.94242,0.82707,0.83809,0.4613,0.59509,0.23117,2.11297,1.06572,0.78749,0.0002378,0.0002378,0.0002378
91,479.798,1.91284,0.96973,0.82561,0.71816,0.47525,0.61194,0.24241,1.99276,1.00833,0.78601,0.000218,0.000218,0.000218
92,485.01,1.82046,0.94811,0.82418,0.68351,0.44554,0.5841,0.2462,2.01941,0.96077,0.78662,0.0001982,0.0001982,0.0001982
93,490.193,1.8535,0.83766,0.83206,0.82704,0.42609,0.57243,0.23526,2.03219,0.95797,0.78901,0.0001784,0.0001784,0.0001784
94,495.366,1.75932,0.85446,0.82574,0.77132,0.46757,0.60153,0.26558,1.7582,0.92919,0.78212,0.0001586,0.0001586,0.0001586
95,500.55,1.83196,0.8595,0.82852,0.78775,0.49505,0.63764,0.28752,1.73569,0.8692,0.77939,0.0001388,0.0001388,0.0001388
96,505.754,1.827,0.84784,0.81535,0.77169,0.51485,0.64013,0.27766,1.71593,0.83334,0.78006,0.000119,0.000119,0.000119
97,510.919,1.81113,0.90559,0.81741,0.76992,0.53465,0.65387,0.28122,1.79241,0.84154,0.77822,9.92e-05,9.92e-05,9.92e-05
98,516.117,1.74414,0.84031,0.8076,0.78484,0.52475,0.67332,0.29195,1.68131,0.85187,0.77892,7.94e-05,7.94e-05,7.94e-05
99,521.307,1.72118,0.75268,0.83137,0.78133,0.5307,0.68239,0.29789,1.71198,0.85472,0.78005,5.96e-05,5.96e-05,5.96e-05
100,526.505,1.74664,0.78626,0.82443,0.77437,0.52475,0.67419,0.29445,1.78441,0.85837,0.78107,3.98e-05,3.98e-05,3.98e-05
